Sequence Number,Value
192,131049
193,131095
194,131013
195,130924
196,130947
197,131066
198,131206
199,131290
200,131277
201,131282
202,131227
203,131127
204,131028
205,131030
206,131065
207,131148
208,131213
209,131217
210,131172
211,131116
212,131016
213,130964
214,130987
215,131045
216,131114
217,131120
218,131093
219,131063
220,131105
221,131128
222,131122
223,131119
224,131121
225,131115
226,131143
227,131152
228,131142
229,131194
230,131184
231,131134
232,131089
233,131084
234,131104
235,131058
236,131020
237,131040
238,131084
239,131096
240,131079
241,131109
242,131163
243,131153
244,131130
245,131079
246,131094
247,131158
248,131177
249,131157
250,131153
251,131135
252,131118
253,131059
254,131091
255,131122
0,131142
1,131185
2,131210
3,131217
4,131133
5,131039
6,131009
7,131013
8,131000
9,130971
10,130956
11,130964
12,130987
13,130974
14,130985
15,131039
16,131044
17,131031
18,130993
19,131008
20,131051
21,131076
22,131094
23,131117
24,131070
25,131025
26,130984
27,130959
28,131048
29,131110
30,131151
31,131168
32,131138
33,131058
34,130950
35,130954
36,130979
37,131047
38,131096
39,131099
40,131048
41,130990
42,130893
43,130871
44,130939
45,131009
46,131037
47,131032
48,131049
49,131078
50,131046
51,130960
52,130932
53,130994
54,131077
55,131112
56,131075
57,131050
58,131065
59,131007
60,130919
61,130917
62,130977
63,131030
64,131080
65,131050
66,131043
67,131023
68,130985
69,130955
70,130950
71,131002
72,131070
73,131092
74,131097
75,131099
76,131117
77,131101
78,131043
79,131086
80,131143
81,131152
82,131083
83,131017
84,131010
85,131024
86,130997
87,130985
88,131022
89,131040
90,130998
91,130978
92,130953
93,130918
94,130929
95,130933
96,130955
97,130997
98,131065
99,131121
100,131122
101,131114
102,131083
103,131113
104,131157
105,131160
106,131158
107,131125
108,131101
109,131055
110,131069
111,131097
112,131084
113,131087
114,131058
115,131076
116,131046
117,131048
118,131051
119,131043
120,131003
121,130968
122,131010
123,131003
124,131006
125,130977
126,131019
127,131044
128,131075
129,131094
130,131123
131,131117
132,131093
133,131109
134,131109
135,131130
136,131133
137,131155
138,131150
139,131152
140,131129
141,131087
142,131035
143,131057
144,131076
145,131088
146,131054
147,130994
148,131002
149,131018
150,131079
151,131124
152,131119
153,131095
154,131104
155,131117
156,131086
157,131120
158,131110
159,131118
160,131128
161,131082
162,131070
163,131100
164,131106
165,131102
166,131130
167,131166
168,131175
169,131135
170,131113
171,131119
172,131151
173,131128
174,131041
175,131042
176,131090
177,131098
178,131075
179,131027
180,131051
181,131076
182,131094
183,131143
184,131167
185,131182
186,131186
187,131147
188,131124
189,131105
190,131068
191,131049
192,131026
193,131070
194,131095
195,131081
196,131060
197,131055
198,131073
199,131044
200,130995
201,131019
202,131061
203,131068
204,131046
205,131022
206,131054
207,131076
208,131092
209,131159
210,131201
211,131211
212,131151
213,131073
214,131046
215,130995
216,130994
217,131027
218,131063
219,131103
220,131087
221,131036
222,130971
223,130976
224,130959
225,130954
226,130969
227,131005
228,131046
229,131045
230,130998
231,130940
232,130930
233,130950
234,130971
235,130973
236,130988
237,131013
238,131036
239,131080
240,131063
241,131072
242,131065
243,131068
244,131070
245,131074
246,131034
247,131004
248,131009
249,131007
250,130981
251,130983
252,131005
253,131010
254,131018
255,130993
0,130993
1,131002
2,130993
3,130951
4,130937
5,130958
6,130995
7,131018
8,131017
9,131036
10,131041
11,131034
12,131030
13,131041
14,131069
15,131097
16,131074
17,131055
18,131024
19,130992
20,130965
21,130967
22,130988
23,131038
24,131074
25,131091
26,131066
27,131047
28,130990
29,130955
30,130929
31,130956
32,131031
33,131105
34,131128
35,131107
36,131068
37,131068
38,131092
39,131146
40,131216
41,131269
42,131260
43,131162
44,131089
45,131081
46,131014
47,130945
48,130963
49,131053
50,131111
51,131092
52,131091
53,131107
54,131094
55,131063
56,131068
57,131096
58,131143
59,131169
60,131150
61,131117
62,131125
63,131112
64,131097
65,131097
66,131090
67,131137
68,131168
69,131204
70,131231
71,131214
72,131147
73,131078
74,131025
75,131001
76,131038
77,131087
78,131130
79,131163
80,131191
81,131155
82,131112
83,131065
84,131078
85,131097
86,131124
87,131115
88,131101
89,131069
90,131024
91,131038
92,131041
93,131059
94,131081
95,131101
96,131095
97,131069
98,131087
99,131074
100,131092
101,131052
102,131067
103,131076
104,131104
105,131078
106,131074
107,131064
108,131094
109,131096
110,131135
111,131164
112,131174
113,131117
114,131043
115,131065
116,131073
117,131048
118,131074
119,131059
120,131061
121,131060
122,131021
123,131042
124,131052
125,131035
126,131029
127,131017
128,131015
129,130991
130,131030
131,131064
132,131045
133,131017
134,130993
135,131019
136,131058
137,131077
138,131106
139,131133
140,131116
141,131080
142,131064
143,131022
144,131010
145,131000
146,131020
147,131031
148,131041
149,131034
150,131049
151,131086
152,131080
153,131067
154,131043
155,131008
156,131000
157,131044
158,131105
159,131128
160,131098
161,131018
162,131008
163,131038
164,131049
165,131046
166,131020
167,131021
168,131027
169,131042
170,131033
171,131057
172,131062
173,131085
174,131133
175,131122
176,131092
177,131060
178,131059
179,131077
180,131122
181,131140
182,131140
183,131129
184,131159
185,131139
186,131107
187,131068
188,131065
189,131052
190,131013
191,130990
192,131031
193,131058
194,131100
195,131110
196,131098
197,131044
198,131027
199,131036
200,131052
201,131089
202,131107
203,131109
204,131109
205,131129
206,131104
207,131067
208,131053
209,131044
210,131058
211,131071
212,131049
213,131045
214,131067
215,131055
216,131028
217,131007
218,130995
219,130977
220,130984
221,131012
222,131041
223,131083
224,131122
225,131153
226,131170
227,131144
228,131102
229,131064
230,131053
231,131059
232,131089
233,131088
234,131072
235,131074
236,131049
237,131033
238,131026
239,131044
240,131030
241,131034
242,131034
243,131015
244,131020
245,131035
246,131031
247,131023
248,131041
249,131021
250,131007
251,131035
252,131061
253,131071
254,131055
255,131054
0,131073
1,131102
2,131084
3,131059
4,131034
5,131021
6,131053
7,131069
8,131051
9,131041
10,131065
11,131056
12,131036
13,131038
14,131010
15,131018
16,131004
17,131037
18,131058
19,131049
20,131078
21,131102
22,131140
23,131124
24,131113
25,131083
26,131046
27,131027
28,130994
29,130999
30,131018
31,131072
32,131090
33,131079
34,131067
35,131060
36,131028
37,131014
38,131042
39,131074
40,131118
41,131156
42,131133
43,131104
44,131061
45,131038
46,131051
47,131069
48,131053
49,131098
50,131112
51,131106
52,131087
53,131052
54,131020
55,130973
56,130963
57,131012
58,131073
59,131087
60,131091
61,131085
62,131077
63,131086
64,131112
65,131139
66,131140
67,131144
68,131135
69,131114
70,131096
71,131084
72,131092
73,131074
74,131076
75,131070
76,131089
77,131088
78,131084
79,131081
80,131046
81,131038
82,131017
83,130995
84,131028
85,131077
86,131154
87,131167
88,131129
89,131086
90,131058
91,131056
92,131062
93,131113
94,131169
95,131199
96,131149
97,131084
98,131040
99,130998
100,130992
101,131003
102,131068
103,131108
104,131124
105,131129
106,131121
107,131084
108,131019
109,131016
110,131050
111,131080
112,131094
113,131052
114,131037
115,131022
116,131020
117,131035
118,131074
119,131070
120,131089
121,131053
122,131049
123,131053
124,131045
125,131047
126,131043
127,131063
128,131058
129,131036
130,130987
131,131020
132,131017
133,131008
134,130987
135,131009
136,131030
137,131044
138,131000
139,131019
140,131034
141,131042
142,131064
143,131084
144,131107
145,131118
146,131091
147,131070
148,131046
149,131079
150,131091
151,131098
152,131107
153,131071
154,131080
155,131072
156,131049
157,131030
158,131040
159,131069
160,131057
161,131046
162,131029
163,131073
164,131064
165,131081
166,131092
167,131084
168,131070
169,131062
170,131064
171,131054
172,131060
173,131074
174,131081
175,131093
176,131072
177,131051
178,131066
179,131084
