packet_num,byte0,byte1,byte2,byte3,full_word
0,0,0,0,53,0x00000035
1,0,0,0,54,0x00000036
2,0,0,0,55,0x00000037
3,0,0,0,56,0x00000038
4,0,0,0,57,0x00000039
5,0,0,0,58,0x0000003A
6,0,0,0,59,0x0000003B
7,0,0,0,60,0x0000003C
8,0,0,0,61,0x0000003D
9,0,0,0,62,0x0000003E
10,0,0,0,63,0x0000003F
11,0,0,0,64,0x00000040
12,0,0,0,65,0x00000041
13,0,0,0,66,0x00000042
14,0,0,0,67,0x00000043
15,0,0,0,68,0x00000044
16,0,0,0,69,0x00000045
17,0,0,0,70,0x00000046
18,0,0,0,71,0x00000047
19,0,0,0,72,0x00000048
20,0,0,0,73,0x00000049
21,0,0,0,74,0x0000004A
22,0,0,0,75,0x0000004B
23,0,0,0,76,0x0000004C
24,0,0,0,77,0x0000004D
25,0,0,0,78,0x0000004E
26,0,0,0,79,0x0000004F
27,0,0,0,80,0x00000050
28,0,0,0,81,0x00000051
29,0,0,0,82,0x00000052
30,0,0,0,83,0x00000053
31,0,0,0,84,0x00000054
32,0,0,0,85,0x00000055
33,0,0,0,86,0x00000056
34,0,0,0,87,0x00000057
35,0,0,0,88,0x00000058
36,0,0,0,89,0x00000059
37,0,0,0,90,0x0000005A
38,0,0,0,91,0x0000005B
39,0,0,0,92,0x0000005C
40,0,0,0,93,0x0000005D
41,0,0,0,94,0x0000005E
42,0,0,0,95,0x0000005F
43,0,0,0,96,0x00000060
44,0,0,0,97,0x00000061
45,0,0,0,98,0x00000062
46,0,0,0,99,0x00000063
47,0,0,0,100,0x00000064
48,0,0,0,101,0x00000065
49,0,0,0,102,0x00000066
50,0,0,0,103,0x00000067
51,0,0,0,104,0x00000068
52,0,0,0,105,0x00000069
53,0,0,0,106,0x0000006A
54,0,0,0,107,0x0000006B
55,0,0,0,108,0x0000006C
56,0,0,0,109,0x0000006D
57,0,0,0,110,0x0000006E
58,0,0,0,111,0x0000006F
59,0,0,0,112,0x00000070
60,0,0,0,113,0x00000071
61,0,0,0,114,0x00000072
62,0,0,0,115,0x00000073
63,0,0,0,116,0x00000074
64,0,0,0,117,0x00000075
65,0,0,0,118,0x00000076
66,0,0,0,119,0x00000077
67,0,0,0,120,0x00000078
68,0,0,0,121,0x00000079
69,0,0,0,122,0x0000007A
70,0,0,0,123,0x0000007B
71,0,0,0,124,0x0000007C
72,0,0,0,125,0x0000007D
73,0,0,0,126,0x0000007E
74,0,0,0,128,0x00000080
75,0,0,0,129,0x00000081
76,0,0,0,130,0x00000082
