packet_num,byte0,byte1,byte2,byte3,full_word,realigned
0,3,185,3,186,0x03B903BA,False
1,3,187,3,188,0x03BB03BC,False
2,3,189,3,190,0x03BD03BE,False
3,3,191,3,192,0x03BF03C0,False
4,3,193,3,194,0x03C103C2,False
5,3,195,3,196,0x03C303C4,False
6,3,197,3,198,0x03C503C6,False
7,3,199,3,200,0x03C703C8,False
8,3,201,3,202,0x03C903CA,False
9,3,203,3,204,0x03CB03CC,False
10,3,205,3,206,0x03CD03CE,False
11,3,207,3,208,0x03CF03D0,False
12,3,209,3,210,0x03D103D2,False
13,3,211,3,212,0x03D303D4,False
14,3,213,3,214,0x03D503D6,False
15,3,215,3,216,0x03D703D8,False
16,3,217,3,218,0x03D903DA,False
17,3,219,3,220,0x03DB03DC,False
18,3,221,3,222,0x03DD03DE,False
19,3,223,3,224,0x03DF03E0,False
20,3,225,3,226,0x03E103E2,False
21,3,227,3,228,0x03E303E4,False
22,3,229,3,230,0x03E503E6,False
23,3,231,3,232,0x03E703E8,False
24,3,233,3,234,0x03E903EA,False
25,3,235,3,236,0x03EB03EC,False
26,3,237,3,238,0x03ED03EE,False
27,3,239,3,240,0x03EF03F0,False
28,3,241,3,242,0x03F103F2,False
29,3,243,3,244,0x03F303F4,False
30,3,245,3,246,0x03F503F6,False
31,3,247,3,248,0x03F703F8,False
32,3,249,3,250,0x03F903FA,False
33,3,251,3,252,0x03FB03FC,False
34,3,253,3,254,0x03FD03FE,False
35,3,255,3,0,0x03FF0300,False
36,3,1,3,2,0x03010302,False
37,3,3,3,4,0x03030304,False
38,3,5,3,6,0x03050306,False
39,3,7,3,8,0x03070308,False
40,3,9,3,10,0x0309030A,False
41,3,11,3,12,0x030B030C,False
42,3,13,3,14,0x030D030E,False
43,3,15,3,16,0x030F0310,False
44,3,17,3,18,0x03110312,False
45,3,19,3,20,0x03130314,False
46,3,21,3,22,0x03150316,False
47,3,23,3,24,0x03170318,False
48,3,25,3,26,0x0319031A,False
49,3,27,3,28,0x031B031C,False
50,3,29,3,30,0x031D031E,False
51,3,31,3,32,0x031F0320,False
52,3,33,3,34,0x03210322,False
53,3,35,3,36,0x03230324,False
54,3,37,3,38,0x03250326,False
